"Skill","Source","Type"
"Python Skills","DataCamp","Technical"
"R Skills","DataCamp","Technical"
"Statistics and Math Skills","DataCamp","Technical"
"SQL Skills ","DataCamp","Technical"
"NoSQL Skills","DataCamp","Technical"
"Data Visualization Skills","DataCamp","Technical"
"Machine Learning and AI Skills ","DataCamp","Technical"
"Deep Learning Skills","DataCamp","Technical"
"Natural Language Processing Skills","DataCamp","Technical"
"Big Data Skills","DataCamp","Technical"
"Cloud Computing Skills","DataCamp","Technical"
"Business Acumen","DataCamp","Soft"
"Communication Skills","DataCamp","Soft"
"Data Ethics Skills","DataCamp","Soft"
"Environmental Awareness","DataCamp","Soft"
"Curiosity","TowardsDataScience","Soft"
"Communication","TowardsDataScience","Soft"
"Scientific Mindset","TowardsDataScience","Soft"
"Integrity","TowardsDataScience","Soft"
"Being value-centric","TowardsDataScience","Soft"
"Conclusions","TowardsDataScience","Soft"
"Statistical Skills","Geek4Geek","Technical"
"Programming Languages","Geek4Geek","Technical"
"Machine Learning","Geek4Geek","Technical"
"AutoML","Geek4Geek","Technical"
"Deep Learning","Geek4Geek","Technical"
"Cloud Services","Geek4Geek","Technical"
"SQL","Geek4Geek","Technical"
"Data Intuition","Geek4Geek","Soft"
"Business Acumen","Geek4Geek","Soft"
"Communication Skills","Geek4Geek","Soft"
